Start Date,End Date,Performance
Apr-92,Oct-92,15.11%
Oct-92,Apr-93,56.15%
Apr-93,Oct-93,45.23%
Oct-93,Apr-94,35.71%
Apr-94,Oct-94,1.78%
Oct-94,Apr-95,7.55%
Apr-95,Oct-95,46.02%
Oct-95,Apr-96,30.56%
Apr-96,Oct-96,19.09%
Oct-96,Apr-97,30.59%
Apr-97,Oct-97,22.87%
Oct-97,Apr-98,33.01%
Apr-98,Oct-98,32.21%
Oct-98,Apr-99,86.36%
Apr-99,Oct-99,51.13%
Oct-99,Apr-00,174.83%
Apr-00,Oct-00,56.64%
Oct-00,Apr-01,33.74%
Apr-01,Oct-01,50.32%
Oct-01,Apr-02,37.00%
Apr-02,Oct-02,14.88%
Oct-02,Apr-03,62.96%
Apr-03,Oct-03,126.34%
Oct-03,Apr-04,99.14%
Apr-04,Oct-04,20.99%
Oct-04,Apr-05,67.70%
Apr-05,Oct-05,28.58%
Oct-05,Apr-06,31.60%
Apr-06,Oct-06,-8.48%
Oct-06,Apr-07,34.31%
Apr-07,Oct-07,28.18%
Oct-07,Apr-08,31.66%
Apr-08,Oct-08,42.55%
Oct-08,Apr-09,7.83%
Apr-09,Oct-09,139.95%
Oct-09,Apr-10,56.70%
Apr-10,Oct-10,54.27%
Oct-10,Apr-11,77.63%
Apr-11,Oct-11,24.76%
Oct-11,Apr-12,69.07%
Apr-12,Oct-12,33.87%
Oct-12,Apr-13,60.64%
Apr-13,Oct-13,71.65%
Oct-13,Apr-14,56.40%
Apr-14,Oct-14,40.57%
Oct-14,Apr-15,52.19%
Apr-15,Oct-15,43.56%
Oct-15,Apr-16,18.38%
Apr-16,Oct-16,86.47%
Oct-16,Apr-17,52.08%
Apr-17,Oct-17,36.17%
Oct-17,Apr-18,34.28%
Apr-18,Oct-18,44.30%
Oct-18,Apr-19,5.83%
Apr-19,Oct-19,39.97%
Oct-19,Apr-20,52.06%
Apr-20,Oct-20,66.72%
Oct-20,Apr-21,106.26%
Apr-21,Oct-21,48.50%
